cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
82.901.000/0001-27;25453;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;INTELBRAS S.A.;1974-01-11;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rodovia BR 101;Km 210;Área Industrial;SÃO JOSÉ;SC;88104800.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A Companhia tem como atividade principal a exploração da indústria de eletrônicos.;https://ri.intelbras.com.br/;['INTB3']
62.258.884/0001-36;25992;INTERCEMENT BRASIL SA;CAMARGO CORREA CIMENTOS SA;1968-11-12;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, 12.495;13º andar;Brooklin Paulista;SÃO PAULO;SP;4578000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Mineração para fabricação de cimento, fabricação e comercialização de cimento, clínquer e materiais de construção correlatos.;https://brasil.intercement.com/;
17.314.329/0001-20;23574;INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.;INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.;1965-01-02;Alimentos;FASE OPERACIONAL;PRIVADO;Avenida Doutora Ruth Cardoso, 4777, 12º andar;conjunto A;Jd Univ. Pinheiros;SÃO PAULO;SP;5477902.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Setor de Varejo de Alimentação;http://ri.internationalmealcompany.com/;['MEAL3']
05.347.060/0001-07;26387;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;;2002-10-09;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Av. Engenheiro Eusébio Stevaux, 1.566;;Jurubatuba;SÃO PAULO;SP;4696000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestação de serviços em redes de relacionamento no ramo farmacêutico assessoria em informática configuração e manutenção de programas de computação participação em outras sociedades.;www.interplayers.com.br/ri/;
00.644.907/0001-93;18589;INVESTCO S/A;INVESTCO S.A.;1997-11-01;Energia Elétrica;FASE OPERACIONAL;PRIVADO;ROD-TO Miracema;KM 23;Rodovia-TO;MIRACEMA DO TOCANTINS;TO;77650000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Geração de Energia Elétrica;www.edpbr.com.br;
01.548.981/0001-79;6041;INVESTIMENTOS BEMGE S.A.;INVESTIMENTOS BEMGE;1964-06-30;Bancos;FASE OPERACIONAL;PRIVADO;Praça Alfredo Egydio de Souza Aranha, 100, Torre Conceição;7º andar;Parque Jabaquara;SÃO PAULO;SP;4344902.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Investimentos;www.itau.com.br/relacoes-com-investidores/informacoes-financeiras/investimentos-bemge;['FIGE3', 'FIGE4']
03.758.318/0001-24;18775;INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR;INVEPAR;2000-03-01;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, nº 501;Loja H;Botafogo;RIO DE JANEIRO;RJ;22250911.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Foi constituída sob a forma de sociedade anônima e tem como objeto social a participação em outras sociedades.;https://ri.invepar.com.br;['IVPR3', 'IVPR4']
61.156.113/0001-75;11932;IOCHPE MAXION SA;IOCHPE-MAXION;1940-05-28;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rua Othon Barcellos, nº 83;;Itagaçaba;CRUZEIRO;SP;12730900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Fabricação e comercialização de produtos do setor automotivo e equipamentos ferroviários.;www.iochpe.com.br;['MYPK3']
92.791.243/0001-03;2429;IRANI PAPEL E EMBALAGEM S.A.;IRANI PAPEL E EMBALAGEM S.A.;1941-06-06;Embalagens;FASE OPERACIONAL;PRIVADO;Avenida Carlos  Gomes,nº400, Edifício João Benjamin Zaffari;salas 502/503;Boa Vista;PORTO ALEGRE;RS;90480900.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação de papel para embalagem, embalagens de papelão ondulado e resinas.;www.irani.com.br;['RANI3']
33.376.989/0001-91;24180;IRB - BRASIL RESSEGUROS S.A.;;1939-04-03;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Av. República do Chile, n° 330, Torre Leste, 3°e 4° andares;;Centro;RIO DE JANEIRO;RJ;20031170.0;KPMG AUDITORES INDEPENDENTES LTDA.;Operações de resseguro e retrocessão;http://ri.irbre.com;['IRBR3']
