;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
535;08.574.411/0001-00;24546;PRÁTICA PRODUTOS S.A.;PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.;2006-12-20;Máqs., Equip., Veíc. e Peças;FASE OPERACIONAL;PRIVADO;Rodovia BR 459 - km 101;s/nº;Loteamento Ipiranga;POUSO ALEGRE;MG;37556140.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto social: (i) a fabricação de fornos e equipamentos voltados para os mercados de panificação e gastronômico e (ii) a participação societária em outras companhias.;https://www.praticabr.com/ri;['PTCA3'];False
536;18.593.815/0001-97;24236;PRINER SERVIÇOS INDUSTRIAIS S.A.;PRINER SERVIÇOS INDUSTRIAIS S.A.;2013-07-12;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida das Américas, nº 3.434;Bl 06, 601 a 608;Barra da Tijuca;RIO DE JANEIRO;RJ;22640102.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Prestação de serviços industriais, principalmente nos segmentos petroquímico, óleo e gás, siderurgia, papel e celulose e químico.;www.priner.com.br;['PRNR3'];False
537;10.629.105/0001-68;22187;PRIO S.A.;PETRO RIO S.A.;2008-10-13;Petróleo e Gás;FASE OPERACIONAL;PRIVADO HOLDING;Praia de Botafogo, 370;13º pavimento;Botafogo;RIO DE JANEIRO;RJ;22250040.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto a participação em outras sociedades como sócia, acionista ou quotista, no país ou no exterior, desde que visando à consecução de atividades relacionadas à energia.;www.prio3.com.br;['PRIO3'];True
538;02.291.077/0001-93;19232;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;PROMAN;1997-12-10;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Jardim Botânico, 647;sala 316;Jardim Botânico;RIO DE JANEIRO;RJ;22461000.0;MCS MARKUP AUDITORES INDEPENDENTES S/S;GERAÇÃO DE ENERGIA ELÉTRICA;www.promanmt.com.br;['PRMN3B'];False
539;45.453.214/0001-51;20346;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;PROFARMA;1961-01-01;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida José Silva de Azevedo Neto;Bloco P, Sala 301;Barra da Tijuca;RIO DE JANEIRO;RJ;22775056.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Profarma atua na distribuição de produtos farmacêuticos, higiene pessoal e cosméticos, nos mais populosos estados brasileiros.;ri.profarma.com.br;['PFRM3'];False
541;02.992.449/0001-09;18333;PROMPT PARTICIPAÇÕES S.A.;PROMPT PARTICIPAÇÕES S/A;1998-11-20;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;/www.promptparticipacoes.com.br/home/index.aspx;['PRPT3'];False
543;11.992.680/0001-93;22497;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;2010-02-12;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Avenida Paulista, 475;3º andar - parte;Bela Vista;SÃO PAULO;SP;1311000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestação de serviços e gestão de benefícios de assistência à saúde.;www.qualicorp.com.br;['QUAL3'];False
544;35.791.391/0001-94;23302;QUALITY SOFTWARE S.A.;QUALITY SOFWARE S.A.;1989-09-06;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Av. Oscar Niemeyer, 2000;4 andar;Centro;RIO DE JANEIRO;RJ;20220297.0;BKR - LOPES, MACHADO AUDITORES;Serviços nos Setores de informática, auditoria de sistemas softwares treinamentos,desenvolvimento de sistemas de suporte técnico hardware e software em geral design gráfico e editoração eletronica.;www.quality.com.br;['QUSW3'];False
545;61.585.865/0001-51;5258;RAIA DROGASIL S.A.;DROGASIL SA;1935-03-28;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av. Corifeu de Azevedo Marques, 3.097;-;Butantã;SÃO PAULO;SP;5339900.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Comércio de produtos farmacêuticos, perfumaria e afins.;https://ri.rdsaude.com.br/;['RADL3'];True
547;33.453.598/0001-23;25917;RAÍZEN S.A.;RAÍZEN S.A.;1961-08-11;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida Afonso Arinos de Melo Franco, 222.;Sala 321;Barra da Tijuca;RIO DE JANEIRO;RJ;22631455.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Distribuição e venda de etanol e de petróleo, combustíveis e outros hidrocarbonetos fluidos e seus subprodutos, bem como itens necessários para o desemprenho de tais atividades.;http://www.raizen.com.br/;['RAIZ4'];True
548;89.086.144/0001-16;14109;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;1992-09-16;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Av. Abramo Randon, 770;;Interlagos;CAXIAS DO SUL;RS;95055010.0;KPMG AUDITORES INDEPENDENTES LTDA.;Indústria e comércio de veíc. automotores e rebocados para a movimentação e o de transporte de materiais de implem para o transp rodoviário e ferroviário e de aparelhos mecânicos, peças;ri.randoncorp.com;['RAPT3', 'RAPT4'];False
550;91.333.666/0001-17;12572;RECRUSUL SA;RECRUSUL;1954-05-31;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Av. Luiz Pasteur, 1020;Não possui;Três Portos;SAPUCAIA DO SUL;RS;93212360.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Produção e comercialização de implementos rodoviários e equipamentos para refrigeração industrial.;www.recrusul.com.br;['RCSL3', 'RCSL4'];False
551;06.047.087/0001-39;24821;REDE D'OR SÃO LUIZ S.A.;REDE D'OR SÃO LUIZ S.A.;2011-10-31;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Rua Francisco Marengo, nº 1.312;;Tatuapé;SÃO PAULO;SP;3313000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;www.rededorsaoluiz.com.br;['RDOR3'];True
552;61.584.140/0001-49;3190;REDE ENERGIA PARTICIPAÇÕES S.A.;REDE ENERGIA PARTICIPAÇÕES S.A.;1929-01-02;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praça Rui Barbosa;nº 80;Centro;CATAGUASES;MG;36770901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em outras empresas (A Rede Energia Participações é uma holding);https://ri.energisa.com.br/;['REDE3'];False
554;33.412.081/0001-96;9989;REFINARIA PET MANGUINHOS SA;REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A;1946-02-01;Petróleo e Gás;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Avenida Brasil, 3.141;;Benfica;RIO DE JANEIRO;RJ;20930041.0;INFORCONT AUDITORES INDEPENDENTES;Fabricação de produtos de refino de petróleo.;www.refit.com.br e www.refit.com.br/ri/;['RPMG3'];False
555;08.534.605/0001-74;21636;RENOVA ENERGIA S.A. -  EM RECUPERAÇÃO JUDICIAL;RENOVA ENERGIA S/A;2006-12-06;Energia Elétrica;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Avenida das Nações Unidas, nº 10.989;conjunto 82;Vila Olimpia;SÃO PAULO;SP;4578000.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Geração de energia por meio de fontes renováveis.;ri.renovaenergia.com.br;['RNEW3', 'RNEW4', 'RNEW11'];False
560;02.998.301/0001-81;18368;RIO PARANAPANEMA ENERGIA SA;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA;1999-02-04;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Funchal, 418;2º andar;Vila Olimpia;SÃO PAULO;SP;4551060.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Geração e Comercialização de energia elétrica;https://ri.ctgbr.com.br/;['GEPA3', 'GEPA4'];False
562;67.010.660/0001-24;20451;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;RODOBENS NEGOCIOS IMOBILIARIOS SA;1949-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Francisco das Chagas de Oliveira;2500;Higienópolis;SÃO JOSÉ DO RIO PRETO;SP;15085485.0;KPMG AUDITORES INDEPENDENTES LTDA.;(i) a compra e venda de imóveis (ii) o desmembramento ou loteamento de terrenos (iii) a incorporação imobiliária ou construção de imóveis destinados à venda (iv) a prestação de serviços a terceiros;http://rni.com.br/;['RDNI3'];False
563;59.981.829/0001-65;25801;RODOBENS S.A.;RODOBENS S.A.;1979-11-19;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Murchid Homsi, nº 1.404;Bloco A, 3º andar;Vila Diniz;SÃO JOSÉ DO RIO PRETO;SP;15013000.0;KPMG AUDITORES INDEPENDENTES LTDA.;(i) a participação no capital social de outras sociedades (ii) a alocação e a gestão de recursos próprios e (iii) a consultoria estratégica e de gestão de negócios.;http://ri.rodobens.com.br;['RBNS'];False
566;56.720.428/0001-63;7510;ROMI S.A.;ROMI S.A.;1938-04-19;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rodovia Luís de Queiroz (SP 304), s/n;KM 141,5;Dist. Industrial Sul;SANTA BÁRBARA D'OESTE;SP;13459057.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Indústria e Comércio de Máquinas-Ferramenta;www.romi.com;['ROMI3'];False
567;61.065.751/0001-80;16306;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;1980-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Henri Dunant, 873 - Conj. 601 a 605;6° andar;Santo Amaro;SÃO PAULO;SP;4709111.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Compra e venda de imóveis, desmembramento e loteamento de terrenos, incorporação imobiliária, construção de imóveis destinados à venda, e a participação em outras sociedades.;www.rossiresidencial.com.br;['RSID3'];False
569;24.962.466/0001-36;15300;RUMO MALHA NORTE S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A.;1988-09-22;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Área Rural Rua B, nº 1008;Parque Industrial;Área Rural de Rondo;RONDONÓPOLIS;MT;78750899.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;(i) construção e exploração de sistemas de transporte ferroviário de carga, rodovias e hidrovias (ii) prestação de serviços de transporte de carga em ferrovias, rodovias e hidrovias etc.;ri.rumolog.com;['FRRN3B', 'FRRN5B'];False
573;02.387.241/0001-60;17450;RUMO S.A.;ALL - AMÉRICA LATINA LOGÍSTICA S.A.;1997-09-30;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO HOLDING;Rua Emílio Bertolini;100;Cajuru;CURITIBA;PR;82920030.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Prestar serviços de transporte de cargas através dos modais ferroviário e rodoviário, dentre outros, isoladamente ou combinados entre si de forma intermodal ou multimodal, entre outros.;www.rumolog.com;['RAIL3'];False
579;14.807.945/0001-24;12696;SANSUY SA INDÚSTRIA  DE PLASTICOS;SANSUY S.A. INDÚSTRIA DE PLÁSTICOS;1979-09-10;Petroquímicos e Borracha;FASE OPERACIONAL;PRIVADO;Rua dos Plásticos, 761;;Àrea Indl. Leste;CAMAÇARI;BA;42816230.0;OPINION AUDITORES INDEPENDENTES EPP;INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS;www.sansuy.com.br;['SNSY3', 'SNSY5', 'SNSY6'];False
582;02.762.121/0001-04;17892;SANTOS BRASIL PARTICIPAÇÕES S.A.;SANTOS BRASIL PARTICIPAÇÕES S.A.;1998-08-25;Serviços Transporte e Logística;FASE OPERACIONAL;ESTATAL HOLDING;Rua Joaquim Floriano, 413 - 10º andar;cj 101 e 102;Itaim Bibi;SÃO PAULO;SP;4534011.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto a exploração portuária através de operações com contêineres, carga geral, veículos, granéis ou afins, operações de logística integrada e a participação em outras sociedades.;www.santosbrasil.com.br;['STPB3', 'STBP11'];False
583;29.780.061/0001-09;13781;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.;1985-10-10;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Rua Dr. Eduardo de Souza Aranha, 153;12o andar;Vila Nova Conceição;SÃO PAULO;SP;4543904.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Compra e venda de imóveis prontos ou a construir locação de bens imóveis administração de empreendimentos imobiliários próprios ou de terceiros exercício de outras atividades correlatas e outros;http://www.scsa.com.br;['SCAR3'];False
584;51.466.860/0001-56;20516;SÃO MARTINHO SA;SÃO MARTINHO SA;1937-07-14;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;FAZENDA SÃO MARTINHO, S/NR.;;ZONA RURAL;PRADÓPOLIS;SP;14850000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Fabricação e comércio de açúcar, álcool e derivados.;www.saomartinho.com.br;['SMTO3'];True
585;62.002.886/0001-60;9415;SÃO PAULO TURISMO S.A.;SÃO PAULO TURISMO S. A.;1968-02-05;Hospedagem e Turismo;FASE OPERACIONAL;ESTATAL;Rua Boa Vista, 280;11º andar;Centro Histórico;SÃO PAULO;SP;1014908.0;CONATUS AUDITORES INDEPENDENTES S/S;Fiscalização da concessão do Complexo Anhembi, produção e organização de eventos, formulação e execução da político de turismo do Município de São Paulo.;www.spturis.com;['AHEB3', 'AHEB5', 'AHEB6'];False
586;60.500.139/0001-26;10472;SARAIVA LIVREIROS S.A. - FALIDA;EDITORA SARAIVA;1947-12-08;Comércio (Atacado e Varejo);FALIDA;PRIVADO;Rua Quirino dos Santos, 410;;Várzea Barra Funda;SÃO PAULO;SP;1141020.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Edição, indústria e comércio de livros e publicações em geral.;http://www.saraivari.com.br;['SLED3', 'SLED4'];False
588;84.693.183/0001-68;14664;SCHULZ SA;SCHULZ;1963-06-12;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua: Dona Francisca, 6901;.;Distrito Industrial;JOINVILLE;SC;89219600.0;VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA;Indústria Metalúrgica;www.schulzsa.com;['SHUL3', 'SHUL4'];False
590;87.043.832/0001-73;10561;SEIVA S.A. - FLORESTAS E INDÚSTRIAS;SEIVA S.A. - FLORESTAS E INDÚSTRIAS;1971-12-29;Reflorestamento;FASE OPERACIONAL;PRIVADO;Avenida Doutora Ruth Cardoso, 8501;8º andar;Pinheiros;SÃO PAULO;SP;5425070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;https://www.gerdau.com.br/;['SEIVA', 'SEIVA'];False
591;06.057.223/0001-71;25372;SENDAS DISTRIBUIDORA S.A.;SENDAS DISTRIBUIDORA S.A.;2003-12-18;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Av. Ayrton Senna, 6.000, Lote 2;Pal 48959, Anexo A;Jacarepaguá;RIO DE JANEIRO;RJ;22775005.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Atacadista de autosserviços;www.assai.com.br;['ASAI3'];True
593;01.599.101/0001-93;25160;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;;1996-12-05;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Isaltino Victor de Moraes, 437, Térreo;Módulo D, Bloco 100;Vila Bonfim;EMBU DAS ARTES;SP;6806400.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Logística,transporte rodoviário de cargas em geral, municipal, intermunicipal, estadual e interestadual, serviços de entrega rápida e carga e descarga, dentre outros.;https://ri.sequoialog.com.br;['SEQL3'];False
594;04.986.320/0001-13;23221;SER EDUCACIONAL S.A.;;2002-03-19;Educação;FASE OPERACIONAL;PRIVADO;Av. da Saudade, 254;;Santo Amaro;RECIFE;PE;50100200.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e a administração de atividades e instituições no setor de educação e outras áreas associadas administração de bens e negócios próprios e participação em outras sociedades.;http://ri.sereducacional.com/;['SEER3'];False
595;42.500.384/0001-51;26441;SERENA ENERGIA S.A.;SERENA ENERGIA S.A.;2021-06-28;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Elvira Ferraz, nº68;12 andar, cj 123 124;Vila Olímpia;SÃO PAULO;SP;4552040.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Atividades de prospecção, estudos, projetos, construção, geração e manutenção de ativos de energ. elét. renov. comerc. energ. elét. criar e desenv. sist. info. fazer estudos, dentre outros.;https://ri.srna.co/;['SRNA3'];False
597;61.156.931/0001-78;12823;SIDERURGICA J L ALIPERTI SA;ALIPERTI;1924-01-02;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Afonso Aliperti;180;Agua Funda;SÃO PAULO;SP;4156090.0;SAX AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES - ME;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;www.aliperti.com.br;['APTI3', 'APTI4'];False
598;07.415.333/0001-20;25003;SIMPAR S.A.;SIMPAR S.A.;2005-06-03;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua Doutor Renato Paes de Barros, 1017;10º andar, cj. 101;Itaim Bibi;SÃO PAULO;SP;4530001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades empresariais, como sócia ou acionista.;http://ri.simpar.com.br/pt-br;['SIMH3'];False
599;89.096.457/0001-55;20745;SLC AGRICOLA SA;SLC AGRICOLA SA;1977-07-21;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Av. Nilo Peçanha, 2.900;sala 301;Chácara das Pedras;PORTO ALEGRE;RS;91330001.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção e comercialização de algodão, soja, milho, sementes, engorda de bovinos entre outros.;www.slcagricola.com.br;['SLCE3'];True
600;07.594.978/0001-78;24260;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2005-07-19;Brinquedos e Lazer;FASE OPERACIONAL;PRIVADO;Avenida Paulista, nº 1.294;2º andar;Bela Vista;SÃO PAULO;SP;1310100.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem como atividade preponderante a prestação de serviços de condicionamento físico, por meio de academias de ginástica, musculação, dança e natação.;www.smartfit.com.br;['SMFT3'];False
605;33.386.210/0001-19;10880;SONDOTECNICA ENGENHARIA SOLOS S.A.;SONDOTECNICA S/A.;1954-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Voluntários da Pátria, 45;8º e 9º, 1001-1003;Botafogo;RIO DE JANEIRO;RJ;22270900.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Serviços de Engenharia.;www.sondotecnica.com.br;['SOND3', 'SOND6', 'SOND5'];False
606;07.718.269/0001-57;20966;SPRINGS GLOBAL PARTICIPAÇÕES S/A - EM RECUPERAÇÃO JUDICIAL;SPRINGS GLOBAL;2005-11-24;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO HOLDING;Av. Lincoln Alves dos Santos;955;Distrito Industrial;MONTES CLAROS;MG;39404005.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;;www.springs.com;['SGPS3'];False
607;00.622.416/0001-41;22594;STATKRAFT ENERGIAS RENOVÁVEIS S.A.;DESENVIX ENERGIAS RENOVÁVEIS SA;1995-05-19;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rodovia José Carlos Daux, nº 5.550, km 5;Sala 235, 3º andar;Saco Grande;FLORIANÓPOLIS;SC;88032005.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A Companhia atua no ramo de geração de energia elétrica por meio de fontes renováveis.;www.statkraft.com.br;['STKF3'];False
608;02.062.747/0001-08;16586;SUDESTE SA;SUDESTE S.A.;1997-07-22;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. PRESIDENTE ANTONIO CARLOS Nº 51;51º andar (parte);Centro;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;Participação em outras sociedades.;http://www.sudestenet.com.br/home/index.aspx;['OPSE3'];False
610;01.957.772/0001-89;16438;SUL 116 PARTICIPAÇÕES S.A.;OPPORTUNITY SUL S.A.;1997-06-05;Telecomunicações;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Rio Branco, nº 311;Sala 523 (parte);Centro;RIO DE JANEIRO;RJ;20040903.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades, comerciais ou civis, nacionais ou estrangeiras, como sócia, acionista ou quotista e a participação, como quotista, em fundos de investimento.;http://sul116participacoes.mzweb.com.br;['OPTS3'];False
611;60.651.809/0001-05;9067;SUZANO HOLDING S.A.;SUZANO HOLDING S.A.;1954-02-26;Papel e Celulose;FASE OPERACIONAL;PRIVADO;Av. Brigadeiro Faria Lima, 1355;21º andar;Jardim Paulistano;SÃO PAULO;SP;1452919.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Sociedade Holding - Participação como acionista ou quotista no capital social de outras sociedades;www.suzanoholding.com.br;['NEMO3', 'NEMO5', 'NEMO6'];False
612;16.404.287/0001-55;13986;SUZANO S.A.;SUZANO PAPEL E CELULOSE SA;1987-12-08;Papel e Celulose;FASE OPERACIONAL;PRIVADO;Av. Professor Magalhães Neto,1752 - 10º andar;Salas 1009/1010/1011;Pituba;SALVADOR;BA;41810012.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Indústria e Comércio de Papel e Celulose;www.suzano.com.br/ri;['SUZB3'];True
613;08.801.621/0001-86;21040;SYN PROP & TECH S.A.;SYN PROP & TECH S.A.;2007-04-11;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, 3.600;Conj. 141 e 142;Itaim Bibi;SÃO PAULO;SP;4538132.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Desenvolvimento, locação, administração e operação de imóveis comerciais;www.syn.com.br;['SYNE3'];False
614;02.860.694/0001-62;22454;T4F ENTRETENIMENTO SA;T4F ENTRETENIMENTO SA;1998-11-18;Brinquedos e Lazer;FASE OPERACIONAL;PRIVADO;Rua Cristiano Viana, nº 401;15º andar;Pinheiros;SÃO PAULO;SP;5411000.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Atuação no setor de entretenimento ao vivo, através da operação de casas de espetáculos e de bilheterias, da comercialização de alimentos, bebidas e produtos promocionais e da negociação de patrocínio;www.ri.t4f.com.br;['SHOW3'];False
615;92.781.335/0001-02;6173;TAURUS ARMAS S.A.;TAURUS ARMAS S.A.;;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Avenida São Borja;2181/Prédio A;Fazenda São Borja;SÃO LEOPOLDO;RS;93035411.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Indústria e comércio de armas;www.taurusri.com.br;['TASA3', 'TASA4'];False
616;26.345.998/0001-50;26077;TC S.A.;;2016-09-15;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, nº 1830;Torre2, 5 andar,cj52;Vila Nova Conceição;SÃO PAULO;SP;4543900.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e gestão de plataformas para oferecer produtos e serviços para o mercado financeiro.;www.tc.com.br/ri;['TRAD3'];False
619;09.295.063/0001-97;22519;TECHNOS SA;TECHNOS SA;2007-11-21;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida das Américas, nº 4200, 6º pavimento;Bloco 05;Barra da Tijuca;RIO DE JANEIRO;RJ;22640102.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto social a participação em outras sociedades, como sócia ou acionista, no país ou no exterior.;www.grupotechnos.com.br;['TECN3'];False
621;08.065.557/0001-12;20435;TECNISA S/A;TECNISA S/A;2006-05-22;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Nicolas Boer, 399;5º andar - Unid 502S;Jardim das Perdizes;SÃO PAULO;SP;1140060.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Incorporação, compra e venda de imóveis prontos e a construir, locação e administração de bens imóveis, construção de imóveis e a prestação de serviço de consultoria imobiliária.;https://ri.tecnisa.com.br/;['TCSA3'];False
623;02.351.144/0001-18;20800;TEGMA GESTÃO LOGÍSTICA SA;TEGMA GESTÃO LOGÍSTICA SA;1998-01-05;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Av. Nicola Demarchi, 2000;1º andar;Demarchi;SÃO BERNARDO DO CAMPO;SP;9820655.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Prestação de serviços de logística para a indústria automotiva, química e de bens de consumo, como o transporte, gerenciamento de estoques e pátios, atividades de armazém geral, PDI, dentre outras.;www.tegma.com.br;['tgma3'];False
624;30.213.493/0001-09;25844;TEGRA INCORPORADORA S.A.;;2018-02-15;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, nº 14.401;1º andar;Chacara Sto Antonio;SÃO PAULO;SP;4730090.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem como foco de suas atividades a incorporação e construção de empreendimentos residenciais de médio e alto padrão.;www.tegraincorporadora.com.br;['TEGA'];False
625;82.636.986/0001-55;11223;TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL;TEKA S.A.;1935-04-06;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Paulo Kuehnrich;Nº 68;Itoupava Norte;BLUMENAU;SC;89052900.0;NEXT AUDITORES INDEPENDENTES S/S LTDA.;Fabricação de artigos de Cama, Mesa e Banho;www.teka.com.br;['TEKA3', 'TEKA4'];False
