;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
476;21.314.559/0001-66;23825;MOVIDA PARTICIPAÇÕES S.A.;MOVIDA PARTICIPAÇÕES S.A.;2015-10-29;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO HOLDING;Rua Doutor Renato Paes de Barros, 1017;Conjunto 91;Itaim Bibi;SÃO PAULO;SP;4530001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Aluguel de carros e gestão de frotas;http://ri.movida.com.br/;['MOVI3'];False
477;26.659.061/0001-59;25445;MPM CORPÓREOS S.A.;MPM CORPÓREOS S.A.;2016-12-05;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida dos Eucaliptos, nº 762;sala 2;Indianópolis;SÃO PAULO;SP;4517050.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Participação como sócia de sociedades empresárias que desenvolvam atividades de depilação, estética facial, capilar e corporal e a comercialização de produtos cosméticos e de cuidados corporais.;https://ri.espacolaser.com.br/;['ESPA3'];False
478;01.417.222/0001-77;17949;MRS LOGÍSTICA S/A;MRS LOGÍSTICA S/A;1996-06-30;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, 228;Sala 707;Botafogo;RIO DE JANEIRO;RJ;22250906.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviços de Transporte Ferroviário de Cargas;www.mrs.com.br;['MRSA3', 'MRSA5', 'MRSA6'];False
479;08.343.492/0001-20;20915;MRV ENGENHARIA E PARTICIPAÇÕES S/A;MRV ENGENHARIA;2006-05-31;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Professor Mario Werneck;621;Estoril;BELO HORIZONTE;MG;30455610.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Atividades de Incorporação e Construção;www.mrv.com.br;['MRVE3'];True
481;07.816.890/0001-53;20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;MULTIPLAN;2005-12-30;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Av. das Américas, 4200 bloco 2;5º andar;Barra da Tijuca;RIO DE JANEIRO;RJ;22640102.0;KPMG AUDITORES INDEPENDENTES LTDA.;Administração de shopping centers;http://ri.multiplan.com.br/;['MULT3'];True
482;88.610.191/0001-54;5312;MUNDIAL S.A - PRODUTOS DE CONSUMO;MUNDIAL;1896-04-02;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua do Paraíso, 148;14º andar - Cj. 142;Paraíso;SÃO PAULO;SP;4103000.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Componentes diversos para Indústria de calçados confecções, artigos de cuidados pessoais e de cultelaria.;www.mundial.com;['MNDL3'];False
483;32.785.497/0001-97;24783;NATURA & CO HOLDING S.A.;NATURA & CO HOLDING S.A.;2019-01-21;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Av. Alexandre Colares, 1.188;sala A17, bloco A;Parque Anhanguera;SÃO PAULO;SP;5106000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Gestão de participações societárias em sociedades que desenvolvam suas atividades principais no ramo de beleza.;https://ri.naturaeco.com/;['NTCO3'];True
485;01.083.200/0001-18;15539;NEOENERGIA S.A;NEOENERGIA S.A.;1996-02-14;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praia do Flamengo, 78;3º andar;Flamengo;RIO DE JANEIRO;RJ;22210030.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades;http://ri.neoenergia.com/;['NEOE3'];False
486;10.139.870/0001-08;25399;NEOGRID PARTICIPACÕES S.A.;NEOGRID PARTICIPAÇÕES S.A.;2008-07-01;Comunicação e Informática;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Santos Dumont, 935;1º andar;Santo Antonio;JOINVILLE;SC;89218105.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação em outras empresas ou sociedades, negócios e empreendimentos desenvolvimento, licenciamento e implementação de softwares e prestação de serviços de assessoria técnica e de treinamento.;www.neogrid.com/ri;['NGRD3'];False
489;08.613.550/0001-98;21180;NEXPE PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;NEXPE PARTICIPAÃiES S.A.;2007-01-16;Construção Civil, Mat. Constr. e Decoração;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Flórida, nº 1.595;3º andar, conj.31;Cidade Monções;SÃO PAULO;SP;4565001.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Participação em outras sociedades que atuem no setor imobiliário.;https://www.nexpe.co/;['NEXP3'];False
