Code;Details
901702;CEJA (REGISTRO ATIVO)
910679;COMPANHIA ENERGETICA DO PIAUI (REGISTRO ATIVO)
24422;COMPANHIA ENERGÉTICA JAGUARA (REGISTRO ATIVO)
24442;COMPANHIA ENERGETICA JAGUARA.
24430;COMPANHIA ENERGETICA MIRANDA (REGISTRO ATIVO)
906834;COMPANHIA ENERGETICA POTIGUAR (REGISTRO ATIVO)
902379;COMPANHIA ENERGETICA SINOP S.A (REGISTRO ATIVO)
2415;COMPANHIA ENERGETICA SINOP S.A.
24155;COMPANHIA ENERGÉTICA SINOP S/A (REGISTRO ATIVO)
94382;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA – CEEE-G ( (REGISTRO NÃO CONCEDIDO)
23124;COMPANHIA FERRÍFERA BRASILEIRA S.A. (REGISTRO CANCELADO)
3263;COMPANHIA FLUMINENSE DE REFRIGERANTES (REGISTRO CANCELADO)
901777;COMPANHIA FORCA E LUZ DO OESTE (REGISTRO ATIVO)
3450;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES (REGISTRO ATIVO)
902163;COMPANHIA JAGUARI DE ENERGIA (REGISTRO ATIVO)
904862;COMPANHIA LIGNA DE INVESTIMENTOS (REGISTRO ATIVO)
901991;COMPANHIA MELHORAMENTOS  NORTE DO PARANA (REGISTRO ATIVO)
917617;COMPANHIA METALURGICA PRADA (REGISTRO ATIVO)
905562;COMPANHIA METRO NORTE (REGISTRO ATIVO)
902189;COMPANHIA NACIONAL DE ALCOOL (REGISTRO ATIVO)
912162; CNC (REGISTRO ATIVO)
905703;COMPANHIA NACIONAL DE ENERGIA ELETRICA (REGISTRO ATIVO)
917588;COMPANHIA NITRO QUÍMICA BRASILEIRA (REGISTRO ATIVO)
12130;COMPANHIA PARAIBUNA DE METAIS (REGISTRO CANCELADO)
912519;COMPANHIA PARANAENSE DE GAS COMPAGAS (REGISTRO ATIVO)
23914;PRSEC (REGISTRO CANCELADO)
22080;COMPANHIA PAULISTA DE SECURITIZAÇÃO (REGISTRO ATIVO)
3808;COMPANHIA PAULISTA FERRO LIGAS (REGISTRO CANCELADO)
500160;COMPANHIA PETROQUÍMICA DO NORDESTE (REGISTRO ATIVO)
20974;COMPANHIA PROVIDENCIA IND E COMERCIO (REGISTRO CANCELADO)
19429;COMPANHIA PROVINCIA DE SECURITIZACAO (REGISTRO CANCELADO)
519081;COMPANHIA REFINADORA DA AMAZÔNIA (REGISTRO ATIVO)
915686;COMPANHIA SEC. DE CRED. FIN. VERT-RECARGAPAY
913913;COMPANHIA SEC. DE CRED. IMOB. VERT-7 (REGISTRO ATIVO)
910976;COMPANHIA SEC. DE CREDITOS FINANCEIROS VERT-GYRA (REGISTRO ATIVO)
24520;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS (REGISTRO CANCELADO)
914861;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
911388;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
911560;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
914713;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
914648;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
916390;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS V (REGISTRO ATIVO)
914457;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS V (REGISTRO ATIVO)
25593;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT V (REGISTRO CANCELADO)
25267;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI (REGISTRO CANCELADO)
24511;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-REBEL (REGISTRO CANCELADO)
25216;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARG (REGISTRO CANCELADO)
26263;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS (REGISTRO CANCELADO)
14117;COMPANHIA SIDERÚRGICA DE TUBARÃO (REGISTRO CANCELADO)
18317;COSIPA (REGISTRO CANCELADO)
91480;COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO (REGISTRO NÃO CONCEDIDO)
910364;COMPANHIA SULAMERICANA DE DISTRIBUIÇÃO (REGISTRO ATIVO)
4065;COMPANHIA SUZANO DE PAPEL E CELULOSE (REGISTRO CANCELADO)
908715;COMPANHIA TRANSIRAPE DE TRANSMISSAO (REGISTRO ATIVO)
908699;COMPANHIA TRANSLESTE DE TRANSMISSAO (REGISTRO ATIVO)
908723;COMPANHIA TRANSUDESTE DE TRANSMISSAO (REGISTRO ATIVO)
14990;COMPAQ FINANCIAL SERVICES ARREND MERC SA (REGISTRO CANCELADO)
4588;COMPAR CIA PAR REFRIGERANTES (REGISTRO CANCELADO)
25127;COMPASS GAS E ENERGIA S.A. (REGISTRO ATIVO)
4596;EM LIQUIDAÇÃO (REGISTRO CANCELADO)
905109;COMPLEXO MARACANA ENTRETENIMENTO S.A. (REGISTRO ATIVO)
902494;COMPLEXO MORRINHOS ENERGIAS RENOVAVEIS S.A. (REGISTRO ATIVO)
902197;COMPORTE PARTICIPACOES S.A. (REGISTRO ATIVO)
14230;COMPUGRAF TECNOL. E SISTEMA SA (REGISTRO CANCELADO)
52876;CONAGRA BRANDS INC (REGISTRO ATIVO)
915082;CONASA COMPANHIA NACIONAL SANEAMENTO (REGISTRO ATIVO)
93521;CONASA INFRAESTRUTURA S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
902072;CONASA SPE S.A. (REGISTRO ATIVO)
22268;CONC AUTO RAPOSO TAVARES S.A. (REGISTRO ATIVO)
23515;CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A. (REGISTRO ATIVO)
20397;CONC ECOVIAS IMIGRANTES S.A. (REGISTRO ATIVO)
19208;CONC RIO-TERESOPOLIS S.A. (REGISTRO ATIVO)
22411;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS (REGISTRO ATIVO)
21024;CONC ROD.OESTE SP VIAOESTE S.A (REGISTRO CANCELADO)
19577;CONC RODOVIA PRES. DUTRA S.A. (REGISTRO CANCELADO)
22721;CONC RODOVIAS DO TIETÊ S.A. (REGISTRO ATIVO)
22071;CONC ROTA DAS BANDEIRAS S.A. (REGISTRO ATIVO)
20192;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN (REGISTRO ATIVO)
917590;CONC. DE CEMITERIOS E SERV. FUNERARIOS SPE SA (REGISTRO ATIVO)
23868;CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL (REGISTRO ATIVO)
17590;CONCEPA (REGISTRO CANCELADO)
16810;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A. (REGISTRO CANCELADO)
22144;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A. (REGISTRO ATIVO)
913517;CONCESSIONÁRIA ÁGUAS DE JUTURNAÍBA S.A. (REGISTRO ATIVO)
900107;CONCESSIONARIA ALLEGRA PACAEMBU SPE S/A (REGISTRO ATIVO)
901546;CONCESSIONARIA BAHIA NORTE S/A (REGISTRO ATIVO)
915553;CONCESSIONÁRIA BLOCO CENTRAL S.A. (REGISTRO ATIVO)
915546;CONCESSIONÁRIA BLOCO SUL S.A. (REGISTRO ATIVO)
23892;CONCESSIONÁRIA BR-040 S.A. (REGISTRO ATIVO)
26859;CONCESSIONÁRIA CATARINENSE DE RODOVIAS S.A. (REGISTRO ATIVO)
911586;CONCESSIONARIA DA LINHA 15 DO METRO DE SAO PAULO S (REGISTRO ATIVO)
902056;CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO SA (REGISTRO ATIVO)
907204;CONCESSIONARIA DA RODOVIA DOS LAGOS S/A (REGISTRO ATIVO)
907238;CONCESSIONARIA DA RODOVIA MG-050 S.A. (REGISTRO ATIVO)
24104;CONCESSIONARIA DA RODOVIA MG-050 S.A. (REGISTRO ATIVO)
913848;CONCESSIONÁRIA DA RODOVIA MS-306 S.A. (REGISTRO ATIVO)
904987;CONCESSIONARIA DAS LINHAS 5 E 17 DO METRO DE SP SA (REGISTRO ATIVO)
914820;CONCESSIONÁRIA DAS LINHAS 8 E 9 DO SISTEMA DE TREN (REGISTRO ATIVO)
900007;CONCESSIONÁRIA DAS RODOVIAS DO LESTE MS S.A. (REGISTRO ATIVO)
25356;CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A. (REGISTRO ATIVO)
917511;CONCESSIONÁRIA DE ILUMINAÇÃO PÚBLICA CONECTA ARACA (REGISTRO ATIVO)
917512;CONCESSIONÁRIA DE ILUMINAÇÃO PÚBLICA CONECTA FEIRA (REGISTRO ATIVO)
23833;CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A. (REGISTRO ATIVO)
21849;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA SA (REGISTRO ATIVO)
27464;CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A (REGISTRO ATIVO)
917682;CONCESSIONARIA DE RODOVIAS NOROESTE PAULISTA S.A. (REGISTRO ATIVO)
916551;CONCESSIONÁRIA DE RODOVIAS ROTA DOS GRÃOS S.A (REGISTRO ATIVO)
916254;CONCESSIONÁRIA DE SANEAMENTO DO AMAPÁ SPE S.A. (REGISTRO ATIVO)
900297;CONCESSIONARIA DO AEROPORTO DA PAMPULHA S.A. (REGISTRO ATIVO)
901470;CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE FLORI (REGISTRO ATIVO)
900153;CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE NATAL (REGISTRO ATIVO)
907212;CONCESSIONARIA DO RODOANEL OESTE S/A (REGISTRO ATIVO)
916312;SP (REGISTRO ATIVO)
27421;SP (REGISTRO ATIVO)
915538;CONCESSIONARIA DOS AEROPORTOS DA AMAZONIA S/A (REGISTRO ATIVO)
902932;CONCESSIONARIA ECOVIA CAMINHO DO MAR S/A (REGISTRO ATIVO)
26638;CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A. (REGISTRO ATIVO)
26581;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A. (REGISTRO ATIVO)
913947;CONCESSIONÁRIA LINHA UNIVERSIDADE S.A (REGISTRO ATIVO)
902007;CONCESSIONARIA MOVE SAO PAULO S.A. (REGISTRO ATIVO)
24139;ECOPONTE (REGISTRO ATIVO)
907444;CONCESSIONARIA RODOVIA DOS TAMOIOS S.A. (REGISTRO ATIVO)
900091;CONCESSIONARIA RODOVIAS DO CAFE SPE (REGISTRO ATIVO)
917642;CONCESSIONÁRIA RODOVIAS DO SUL DE MINAS SPE S.A. (REGISTRO ATIVO)
917643;CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A. (REGISTRO ATIVO)
27537;CONCESSIONÁRIA RODOVIAS DO TRIÂNGULO SPE S.A. (REGISTRO ATIVO)
27294;CONCESSIONARIA ROTA DE SANTA MARIA S.A (REGISTRO ATIVO)
94706;CONCESSIONARIA ROTA DE SANTA MARIA S.A (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
917638;CONCESSIONARIA ROTA DE SANTA MARIA S.A. (REGISTRO ATIVO)
907048;CONCESSIONARIA ROTA DO ATLANTICO S.A. (REGISTRO ATIVO)
23922;CONCESSIONÁRIA ROTA DO OESTE S.A. (REGISTRO ATIVO)
914895;CONCESSIONÁRIA ROTA DOS COQUEIROS S.A. (REGISTRO ATIVO)
908095;CONCESSIONARIA SPMAR S.A (REGISTRO ATIVO)
902437;CONCESSIONARIA VIARIO S.A. (REGISTRO ATIVO)
27405;CONCESSIONÁRIA VIARIO S.A. (REGISTRO ATIVO)
900011;CONCESSIONARIA VLT CARIOCA S.A. (REGISTRO ATIVO)
52884;CONCHO RESOURCES INC (REGISTRO ATIVO)
4600;CONCIC ENGENHARIA SA (REGISTRO CANCELADO)
4618;CONCRETEX SA (REGISTRO CANCELADO)
15660;CONDOMINIUM VILLAGE SA (REGISTRO CANCELADO)
917047;CONDOR SUPER CENTER LTDA (REGISTRO ATIVO)
916854;CONDUCTOR TECNOLOGIA S.A. (REGISTRO ATIVO)
902114;CONE S.A. (REGISTRO ATIVO)
19054;CONEPAR PETROQUIMICA SA (REGISTRO CANCELADO)
4650;CONFAB INDUSTRIAL SA (REGISTRO CANCELADO)
18236;CONFIANZA SECURITIZADORA SA (REGISTRO CANCELADO)
93149;CONFIDENCE GESTÃO FINANCEIRA LTDA (REGISTRO NÃO CONCEDIDO)
916173;CONFLUENCIA ENERGIA S/A (REGISTRO ATIVO)
4677;CONFORJA SA CONEXOES DE ACO (REGISTRO CANCELADO)
90646;CONGEM INVESTIMENTOS S.A. (REGISTRO NÃO CONCEDIDO)
50520;CONOCOPHILLIPS (REGISTRO ATIVO)
15563;CONOVER TRADING SA (REGISTRO CANCELADO)
13544;CONPART IND ELETRONICA S/A (REGISTRO CANCELADO)
4685;EM RECUPERAÇÃO JUDICIAL (REGISTRO ATIVO)
900075;CONSAG ENGENHARIA S.A. (REGISTRO ATIVO)
4693;CONSERVAS ODERICH S.A. (REGISTRO ATIVO)
24899;CONSIGNADOS I COMPANHIA SECURITIZADORA CRÉDITOS FINANCEIROS (REGISTRO CANCELADO)
911826;CONSIGNADOS I COMPANHIA SECURITIZADORA DE CREDITOS (REGISTRO ATIVO)
53740;CONSOLIDATED EDISON INC (REGISTRO ATIVO)
4707;CONSORCIO ALFA DE ADMINISTRACAO S.A. (REGISTRO CANCELADO)
15814;CONSPREVI SA (REGISTRO CANCELADO)
4740;CONST ANDRADE GUTIERREZ SA (REGISTRO CANCELADO)
13277;CONST CENTENARIO SA EMP E PART (REGISTRO CANCELADO)
4766;CONST CIVIL INDL SA (REGISTRO CANCELADO)
4774;CONST LIX DA CUNHA SA (REGISTRO CANCELADO)
11959;CONST PRESIDENTE SA (REGISTRO CANCELADO)
51691;CONSTELLATION BRANDS INC (REGISTRO ATIVO)
520071;CONSTRUAMEC-CONSTRUO AGRICULTURA MECANIZADA S/A (REGISTRO ATIVO)
4715;CONSTRUCOES COM CAM CORREA SA (REGISTRO CANCELADO)
909820;CONSTRUCOES E COMERCIO CAMARGO CORREA S/A (REGISTRO ATIVO)
908640;CONSTRUTORA  TRIUNFO  S.A. (REGISTRO ATIVO)
4723;CONSTRUTORA ADOLPHO LINDENBERG S.A. (REGISTRO ATIVO)
900415;CONSTRUTORA ATERPA S/A (REGISTRO ATIVO)
917607;CONSTRUTORA BARBOSA MELLO S.A. (REGISTRO ATIVO)
4758;CONSTRUTORA BETER SA (REGISTRO CANCELADO)
917650;CONSTRUTORA CENTRAL DO BRASIL S/A (REGISTRO ATIVO)
27340;CONSTRUTORA METROCASA S.A. (REGISTRO ATIVO)
4790;CONSTRUTORA NORBERTO ODEBRECHT S.A. (REGISTRO CANCELADO)
902254;CONSTRUTORA QUEIROZ GALVAO S/A (REGISTRO ATIVO)
13030;EM RECUPERAÇÃO JUDICIAL (REGISTRO ATIVO)
21148;CONSTRUTORA TENDA S.A. (REGISTRO ATIVO)
4804;CONSUL SA (REGISTRO CANCELADO)
24651;CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A. (REGISTRO CANCELADO)
900020;CONTE CAPITAL S.A. (REGISTRO ATIVO)
13820;CONTEX CONFECÇÕES TEXTEIS SA (REGISTRO CANCELADO)
917476;CONTINUY SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO S.A. (REGISTRO ATIVO)
900129;CONTROL CONSTRUCOES S.A (REGISTRO ATIVO)
4731;CONVAP ENG CONSTRUCOES SA (REGISTRO CANCELADO)
912006;CONVICON CONTEINERES DE VILA DO CONDE S/A (REGISTRO ATIVO)
55409;COOPER COMPANIES INC (REGISTRO ATIVO)
901819;COPACABANA GERACAO DE ENERGIA E PARTICIPACOES S.A. (REGISTRO ATIVO)
913608;COPAGAZ DISTRIBUIDORA DE GÁS S.A. (REGISTRO ATIVO)
4812;COPALA INDUSTRIAS REUNIDAS SA (REGISTRO CANCELADO)
916106;COPAPA COMPANHIA PADUANA DE PAPEIS (REGISTRO ATIVO)
54569;COPART INC (REGISTRO ATIVO)
902171;COPEL  DISTRIBUICAO S/A (REGISTRO ATIVO)
26808;COPEL  DISTRIBUICAO S/A (REGISTRO ATIVO)
902155;COPEL GERACAO E TRANSMISSAO S.A.
247400;COPEL GERACAO E TRANSMISSAO S.A. (REGISTRO ATIVO)
24740;COPEL GERAÇÃO E TRANSMISSÃO S.A. (REGISTRO ATIVO)
917614;COPEL GERAÇÃO E TRANSMISSÃO S.A. (REGISTRO ATIVO)
90620;COPEL GERACAO E TRANSMISSAO S.A. (INATIVA)
900248;COPEL SERVICOS S.A. (REGISTRO ATIVO)
4642;COPENE PARTICIPAÇÕES S/A (REGISTRO CANCELADO)
22535;COPERSUCAR S.A. (REGISTRO CANCELADO)
14044;COMPANHIA PETROQUÍMICA DO SUL (REGISTRO CANCELADO)
24570;COPISEC SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A. (REGISTRO CANCELADO)
4839;CORBETTA SA IND COM (REGISTRO CANCELADO)
913483;COREMAS HOLDING II S.A. (REGISTRO ATIVO)
912527;COREMAS HOLDING S/A (REGISTRO ATIVO)
4847;COREVA SA PRO AGRI PEC IND COM (REGISTRO CANCELADO)
52892;CORNING INC (REGISTRO ATIVO)
51853;CORPAY INC. (REGISTRO ATIVO)
910224;CORPOREOS SERVICOS TERAPEUTICOS SA (REGISTRO ATIVO)
900104;CORPSERVICES PARTICIPACOES E SERVICOS LTDA. (REGISTRO ATIVO)
4863;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA (REGISTRO CANCELADO)
913988;CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A. (REGISTRO ATIVO)
27260;CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A. (REGISTRO ATIVO)
92720;CORRETORA G 20 EIRELI
91995;CORTEL HOLDING S.A. (REGISTRO NÃO CONCEDIDO)
56057;CORTEVA INC (REGISTRO ATIVO)
902320;CORUMBA CONCESSOES  S.A. (REGISTRO ATIVO)
20923;COSAN ALIMENTOS S.A. (REGISTRO CANCELADO)
23485;COSAN LOGISTICA S.A. (REGISTRO CANCELADO)
19836;COSAN S.A. (REGISTRO ATIVO)
12220;COSTA PINTO SA (REGISTRO CANCELADO)
56065;COSTAR GROUP INC (REGISTRO ATIVO)
51101;COSTCO WHOLESALE CORPORATION (REGISTRO ATIVO)
501492;COTECE S.A. (REGISTRO ATIVO)
902395;COTEMINAS S.A. (REGISTRO ATIVO)
52779;COTERRA ENERGY INC. (REGISTRO ATIVO)
902122;COTIA VITORIA SERVICOS E COMERCIO S.A. (REGISTRO ATIVO)
4871;COTONIFICIO BELTRAMO SA (REGISTRO CANCELADO)
4901;COTONOFICIO JOSE RUFINO SA (REGISTRO CANCELADO)
93424;COTY BRASIL COMÉRCIO S.A. (REGISTRO NÃO CONCEDIDO)
50997;COTY, INC. (REGISTRO ATIVO)
56073;COUPA SOFTWARE INC (REGISTRO ATIVO)
59021;COURSERA INC (REGISTRO ATIVO)
58165;COUSINS PROPERTIES INC (REGISTRO ATIVO)
19216;CP CIMENTO E PARTICIPAÇÕES S/A (REGISTRO CANCELADO)
902130;CPFL COMERCIALIZACAO BRASIL S/A (REGISTRO ATIVO)
917062;CPFL COMERCIALIZAÇÃO DE ENERGIA CONE SUL LTDA. (REGISTRO ATIVO)
18660;CPFL ENERGIA S.A. (REGISTRO ATIVO)
20540;CPFL ENERGIAS RENOVÁVEIS S.A. (REGISTRO ATIVO)
18953;CPFL GERACAO DE ENERGIA S.A. (REGISTRO ATIVO)
20281;CPFL JAGUARIÚNA S.A. (REGISTRO CANCELADO)
902148;CPFL SERVICOS EQUIPAMENTOS INDUSTRIA E COMERCIO SA (REGISTRO ATIVO)
3204;CPFL TRANSMISSÃO S.A. (REGISTRO ATIVO)
909895;CPM BRAXIS S.A. (REGISTRO ATIVO)
20290;CPM BRAXIS S/A (REGISTRO CANCELADO)
902205;CPQ BRASIL S/A (REGISTRO ATIVO)
917667;CPX DISTRIBUIDORA S.A. (REGISTRO ATIVO)
19666;CR2 CIA SECURITIZADORA DE CREDITOS IMOBI (REGISTRO CANCELADO)
26972;CREDGRID SERVICOS FINANCEIROS S/A (REGISTRO ATIVO)
917187;CREDGRID SERVICOS FINANCEIROS S/A (REGISTRO ATIVO)
4936;CREDICARD SA ADMN CARTOES CRED (REGISTRO CANCELADO)
58173;CREDICORP LTD (REGISTRO ATIVO)
51705;CREDIT ACCEPTANCE CORP (REGISTRO ATIVO)
11665;CREDIT COMML FRANCE SA AR MERC (REGISTRO CANCELADO)
56650;CREDIT SUISSE GROUP AG (REGISTRO ATIVO)
901645;CREDITA S/A CREDITO FINANCIAMENTO E INVESTIMENTO (REGISTRO ATIVO)
90301;CREDPAGO SECURITIZADORA S/A
902288;CREDZ ADMINISTRADORA DE CARTOES S.A. (REGISTRO ATIVO)
900179;CREMER S.A. (REGISTRO ATIVO)
4960;CREMER SA
20141;CREMER SA (REGISTRO CANCELADO)
12955;CRESAL EXP SA IND E COMERCIO (REGISTRO CANCELADO)
52337;CRH (REGISTRO ATIVO)
59395;CRH PLC (REGISTRO ATIVO)
58181;CRISPR THERAPEUTICS AG (REGISTRO ATIVO)
902296;CROMEX S/A (REGISTRO ATIVO)
902312;CROMOSSOMO PARTICIPACOES  III S/A (REGISTRO ATIVO)
58190;CROWDSTRIKE HOLDINGS INC (REGISTRO ATIVO)
53678;CROWN CASTLE INC. (REGISTRO ATIVO)
90158;CRUZE PARTICIPAÇÕES S.A. (REGISTRO NÃO CONCEDIDO)
25526;CRUZEIRO DO SUL EDUCACIONAL S.A. (REGISTRO ATIVO)
902502;CRUZEIRO DO SUL EDUCACIONAL S.A. (REGISTRO ATIVO)
91782;CRUZEIRO DO SUL EDUCACIONAL S.A. (REGISTRO NÃO CONCEDIDO)
4995;CRUZEIRO DO SUL SA SERV AEREOS (REGISTRO CANCELADO)
900094;SOCIEDADE ANONIMA DE FUTE (REGISTRO ATIVO)
917592;RIOGRANDENSE VALORIZACAO DE RESIDUOS S.A (REGISTRO ATIVO)
902346;CS BIOENERGIA S.A. (REGISTRO ATIVO)
913202;CS BRASIL FROTAS LTDA (REGISTRO ATIVO)
915496;CS BRASIL HOLDING E LOCACAO S.A. (REGISTRO ATIVO)
913194;CS BRASIL PARTICIPAÇÕES E LOCAÇÕES LTDA. (REGISTRO ATIVO)
25739;CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A. (REGISTRO CANCELADO)
911602;CS BRASIL TRANSP PASSAGEIROS SERV AMBIENTAIS LTDA (REGISTRO ATIVO)
19470;CSA-COMPANHIA SECURITIZADORA DE ATIVOS (REGISTRO CANCELADO)
914853;CSIXERS HOLDING S.A. (REGISTRO ATIVO)
16020;CSM CARTOES DE SEGURANCA SA (REGISTRO CANCELADO)
917518;CSN CIMENTOS S.A. (REGISTRO ATIVO)
93432;CSN CIMENTOS S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
25585;CSN MINERAÇÃO S.A. (REGISTRO ATIVO)
20044;CSU DIGITAL S.A. (REGISTRO ATIVO)
51713;CSX CORP (REGISTRO ATIVO)
23981;CENTRO DE TECNOLOGIA CANAVIEIRA S.A. (REGISTRO ATIVO)
18376;CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA (REGISTRO ATIVO)
17086;CTMR CELULAR SA (REGISTRO CANCELADO)
16799;CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A (REGISTRO CANCELADO)
21652;EM LIQUIDAÇÃO (REGISTRO CANCELADO)
910661;CULTURA INGLESA IDIOMAS S/A. (REGISTRO ATIVO)
54577;CUMMINS INC (REGISTRO ATIVO)
910885;CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA S.A (REGISTRO ATIVO)
520004;CURICACA AGROPECUÁRIA S.A. (REGISTRO ATIVO)
12076;CURT SA (REGISTRO CANCELADO)
5002;CURTUME INDL NE B SA CURTINBRA
520799;CURTUME JANGADAS S.A. (REGISTRO CANCELADO)
518760;CURTUME JANGADAS S.A.
5010;CURTUMES DO NORDESTE SA (REGISTRO CANCELADO)
25100;CURY CONSTRUTORA E INCORPORADORA S.A. (REGISTRO ATIVO)
910836;CUTIA EMPREENDIMENTOS EOLICOS S.A. (REGISTRO ATIVO)
23310;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A. (REGISTRO ATIVO)
25542;CVLB BRASIL S.A. (REGISTRO ATIVO)
51110;CVS HEALTH CORPORATION (REGISTRO ATIVO)
14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART (REGISTRO ATIVO)
57240;CYRUSONE INC (REGISTRO ATIVO)
12742;CZARINA SA (REGISTRO CANCELADO)
5029;D F VASCONC SA OPT MEC A PREC (REGISTRO CANCELADO)
25046;D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
900161;DA MATA S.A. – AÇÚCAR E ÁLCOOL (REGISTRO ATIVO)
5037;DACUNHA SA (REGISTRO CANCELADO)
5045;DADALTO SA (REGISTRO CANCELADO)
16950;DALETH PARTICIPAÇÕES SA (REGISTRO CANCELADO)
248;DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO (REGISTRO CANCELADO)
51020;DANAHER CORPORATION (REGISTRO ATIVO)
55417;DARDEN RESTAURANTS INC (REGISTRO ATIVO)
59277;DARLING INGREDIENTS INC (REGISTRO ATIVO)
24414;DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A. (REGISTRO CANCELADO)
56081;DATADOG INC (REGISTRO ATIVO)
5061;DATAMEC SA SIST PROC DE DADOS (REGISTRO CANCELADO)
20095;DATASUL S/A (REGISTRO CANCELADO)
902692;DATORA MOBILE TELECOMUNICACOES S.A. (REGISTRO ATIVO)
26557;DATORA PARTICIPAÇÕES E SERVIÇOS S.A. (REGISTRO ATIVO)
51721;DAVITA INC (REGISTRO ATIVO)
900712;BANCO MULTIPLO S/A (REGISTRO ATIVO)
900197;DB3 SERVICOS DE TELECOMUNICACOES S.A (REGISTRO ATIVO)
917639;DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRIC (REGISTRO ATIVO)
5070;DE ANTONI SA MAQS IMPL AGRIC (REGISTRO CANCELADO)
5088;DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM (REGISTRO CANCELADO)
5096;DEDINI SA ADM E PARTICIPACOES (REGISTRO CANCELADO)
5100;DEDINI SA SIDERURGICA (REGISTRO CANCELADO)
13625;DEDIPAR SA PARTICIPACOES (REGISTRO CANCELADO)
51730;DEERE & CO (REGISTRO ATIVO)
902569;DELGA INDUSTRIA E COMERCIO S/A (REGISTRO ATIVO)
914309;DELIVERY CENTER HOLDING S.A. (REGISTRO ATIVO)
50466;DELL INC. (REGISTRO ATIVO)
52906;DELL TECHNOLOGIES INC (REGISTRO ATIVO)
906842;DELTA 2 ENERGIA S.A. (REGISTRO ATIVO)
902577;DELTA 5 ENERGIA S.A. (REGISTRO ATIVO)
902585;DELTA 6 ENERGIA S.A. (REGISTRO ATIVO)
911081;DELTA 7 ENERGIA S.A. (REGISTRO ATIVO)
911099;DELTA 8 ENERGIA S.A. (REGISTRO ATIVO)
51128;DELTA AIR LINES, INC. (REGISTRO ATIVO)
900103;DELTA ENERGIA USFV 3L SPE LTDA (REGISTRO ATIVO)
911990;DELTA SUCROENERGIA S/A (REGISTRO ATIVO)
