Code;Details
913434;AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA (REGISTRO ATIVO)
51462;AETNA INC. (REGISTRO ATIVO)
900259;AFFIX ADMINISTRACAO E SERVICOS LTDA (REGISTRO ATIVO)
52655;AFLAC INC (REGISTRO ATIVO)
20150;AFLUENTE G&T DE ENERGIA ELÉTRICA S/A (REGISTRO CANCELADO)
22179;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A (REGISTRO ATIVO)
50026;AFYA LTD (REGISTRO ATIVO)
917582;AFYA PARTICIPAÇÕES S.A (REGISTRO ATIVO)
900012;AG PROPERTIES LTDA (REGISTRO ATIVO)
917615;AG-08 PARTICIPACOES S.A. (REGISTRO ATIVO)
27324;AGASUS S.A. (REGISTRO ATIVO)
912600;AGASUS S.A. (REGISTRO ATIVO)
95230;AGASUS S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
917561;AGE ADMINISTRAÇÃO E PARTICIPAÇÕES S/A (REGISTRO ATIVO)
914655;AGEO LESTE S.A (REGISTRO ATIVO)
911115;AGEO NORTE TERMINAIS E ARMAZENS GERAIS S/A (REGISTRO ATIVO)
900118;AGEO TERMINAIS E ARMAZENS GERAIS S/A (REGISTRO ATIVO)
12343;AGF BRASIL SEGUROS SA (REGISTRO CANCELADO)
900137;AGGER S.A. (REGISTRO ATIVO)
175;AGGS INDS GRAFICAS SA (REGISTRO CANCELADO)
53511;AGILENT TECHNOLOGIES INC (REGISTRO ATIVO)
3921;AGIP DISTRIBUIDORA SA (REGISTRO CANCELADO)
900167;AGIPLAN FINANCEIRA S/A CREDITO FINANCIAMENTO E INV (REGISTRO ATIVO)
916023;AGORA SOL. EM TEC. DA INFORMACAO E COMUNICACAO SA (REGISTRO ATIVO)
908913;AGORACRED S/A SOCIEDADE DE CREDITO FINANCIAMENTO E (REGISTRO ATIVO)
20664;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A (REGISTRO CANCELADO)
183;AGRALE SA (REGISTRO CANCELADO)
21911;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA (REGISTRO CANCELADO)
914499;AGRICOLA ALVORADA LTDA (REGISTRO ATIVO)
191;AGRILEASING SA ARREND MERC (REGISTRO CANCELADO)
516147;AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A (REGISTRO ATIVO)
92010;AGRO INVEST LTDA
205;AGRO PASTORIL CARIRI SA CARIRISA (REGISTRO CANCELADO)
912709;AGRO TALENT PARTICIPACOES S/A (REGISTRO ATIVO)
916205;AGROCERES MULTIMIX NUTRICAO ANIMAL LTDA (REGISTRO ATIVO)
25658;AGROGALAXY PARTICIPAÇÕES S.A. (REGISTRO ATIVO)
909713;AGROINDS DO VALE DO SAO FCO S/A-AGROVALE (REGISTRO ATIVO)
519715;AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A. (REGISTRO ATIVO)
519847;AGROINDUSTRIAL E PASTORIL NATIVA S.A. (REGISTRO ATIVO)
518859;AGROINDUSTRIAL SAPUCAIA S.A. (REGISTRO SUSPENSO)
511404;AGROINDUSTRIAL VERA CRUZ S.A. (REGISTRO SUSPENSO)
503681;AGROPECUÁRIA MARANHENSE S.A.
221;AGRONORTE SA (REGISTRO CANCELADO)
915314;AGROPASTORIL JOTABASSO LTDA. (REGISTRO ATIVO)
509205;AGROISA
518824;AGROPECUÁRIA ARAÇATUBA S.A.
517763;AGROPECUÁRIA BAIXO AMAZONAS S.A. (REGISTRO ATIVO)
519073;AGROPECUÁRIA BRASIL PALMEIRAS S.A. (REGISTRO ATIVO)
511412;AGROPECUÁRIA DOIS IRMÃOS S.A. (REGISTRO ATIVO)
